,Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41,Var42,Var43,Var44,Var45,Var46,Var47,Var48,Var49,Var50,Var51,Var52,Var53,Var54,Var55,Var56,Var57,Var58,Var59,Var60,Var61,Var62,Var63,Var64,Var65,Var66,Var67,Var68,Var69,Var70,Var71,Var72,Var73,Var74,Var75,Var76,Var77,Var78,Var79,Var80,Var81,Var82,Var83,Var84,Var85,Var86,Var87,Var88,Var89,Var90,Var91,Var92,Var93,Var94,Var95,Var96,Var97,Var98,Var99,Var100,Var101
"1-1",#N/A,0.82244797692425176,0.2826190945264182,2.6281231765869695,-0.11331994176409355,1.972887190922294,1.0103591340060649,-0.13523179877104741,-0.77791668742771458,2.2493073684694669,1.8081692233376523,-1.0124285155110857,1.3351359381928884,0.43715345260945182,1.5961704065802487,2.1499009945957042,1.0434026133461964,-2.3465424246523918,2.199181482489692,-0.92555914095312386,0.23330701722151737,-0.5792833772624022,-1.2515330922471795,-0.46584246285541064,-0.42119042927098471,1.850355155870065,1.2118721979817837,0.084911271754271378,2.0869972571432771,0.87108719054178851,1.0131234370475459,0.67376829157974427,2.3202991553014169,2.6925914848447641,1.3709418572738712,1.13160114576735,2.0065096134671059,2.2383452894274849,1.4229920472127426,2.3066546463398812,0.63498000304082025,2.156037376122514,0.73816989580073311,-0.72283123651830516,-1.3778156867950675,0.55841621529402663,0.93392363252891952,1.4408460549059057,0.80235639579935381,-0.10531467304002518,2.9052182312717925,0.23122320654177381,1.4432883451173808,-0.68089970503060671,0.071188058836402113,-2.2016880953375018,-1.357884314387841,-2.9576734507352018,-3.0080998796843188,-1.9342648393918054,-3.2842391518914611,-1.7435106174714385,-0.23426107817091785,2.1185360632969208,3.0354204965355231,2.2122154703131072,3.7338212561828983,1.4986115301505403,3.0009698929969786,1.0395745282585058,1.6737988809836755,1.9497695802082278,1.7798654893337527,1.8614892401274814,3.8205430710601429,2.9742279027239205,1.9333310841102804,3.0619288699402185,1.5507144891658851,4.6008253025676851,4.9658891338381057,4.9738981649674052,5.8609160319771068,5.4347439563697915,2.9243333575384041,4.6631515507753942,5.264770349831573,3.6208862352876605,4.9116410068421672,4.2204136123823561,1.7445848905727888,4.3793101627287507,4.6268636961203988,4.3028769936743947,5.901364017976154,4.5890766983507678,3.8699965544710135,5.7882904244241331,3.8638955315616679,5.8850116274925472,4.323500969759138
"2-1",#N/A,1.0658831101477884,-0.063438385224367178,0.98501486346207856,1.7190871648855153,1.1855643236812901,1.8801135775796289,-0.51782019133386503,0.066906417770754886,0.81332756345514023,1.161197216593405,-0.41536249477494069,1.5804435845096054,-0.56130595135407546,1.3357467001974253,2.0201547821174746,-0.20483009997318602,0.67674002513800913,1.0748624036252818,-0.13683835119184257,-0.14426253081419393,-1.3733813316195076,-0.14415311219652238,0.055544223521736158,0.054594250382241152,0.97570374300036122,1.0871975976222403,-0.05319494186866508,0.45341584592364792,1.463936943948438,0.3039846549666177,2.3621585418182023,2.3930044862430493,1.82216893736977,2.4490076438414432,2.1610035618712877,1.5351751148063253,4.0174079303361552,2.3892302319012284,0.878814066964966,3.7003607907567244,1.6196706086253208,0.6227697690969175,0.1333880233084323,-0.58520586409337749,0.77997115194389266,0.40743790048719886,-0.31828884593816587,-0.78755686857021223,1.6271312011987002,0.56781060459157962,0.27489570127676916,0.39451836367066534,-0.44050690373772872,0.60017449370347531,-0.81744315499946008,-1.974047467938421,-3.8625486885596323,-5.303288352112828,-2.4633732439504104,-4.6914716154150096,-1.3558410487591654,-0.87719226678093398,3.4401702360595863,2.7139613680357746,3.2763201213100315,2.3135523162703757,3.0106453530240724,-0.34504512749072846,-0.33213552509506439,1.2398847402745383,2.8351103341151189,3.9751944352995112,2.9500764798699897,4.2105322517470771,3.1558257221142059,1.0563531618527191,2.7977862473769459,2.87771271920401,5.6392949157151442,3.3801172833241848,1.9635168553557021,5.8217909777453096,5.0894371355229024,5.6952662530018179,4.9156849946520094,3.9904036583229217,4.6989677565241177,2.9006513631548057,2.1239017916355909,2.8019224845417368,2.1567038394415232,5.1700760608867,3.2723304053185425,5.7326258828962819,5.1101070076919948,3.8871811701654169,4.9119112693951612,6.3444687899085466,4.8864538589502944,2.9894779430750025
"3-1",#N/A,1.9633993347558243,2.3191663102917026,-0.607702108834552,0.43077796717728978,1.0436824741965438,-0.72547326050548633,0.099906777625156817,-0.43258955787641884,-1.8521117738550439,0.69199813346094041,2.4182872737527417,0.22604173521700266,2.0877882511796879,0.62092373333411111,0.3062693070738769,1.4267446480699264,1.0545394252211295,0.61071743365883058,-0.48839441003157685,0.04185662468957857,-0.57478234409937734,-1.2272310289138018,0.17055909506641806,-1.5642746033409953,0.23778384947601316,-0.40711875791230723,-0.031582429555018388,0.26282880565445788,0.45495636887117585,0.57713768937828147,1.048971322847434,1.5935038225019404,3.3774590233458599,2.2548718506366878,3.1321595020321897,2.472403239157821,2.9420812054992664,1.1808030439392718,0.34538572022823466,-0.2626614278740047,1.5188274464641058,2.0197852230918891,0.47951386166065169,-0.076116138041129489,-0.9326748315601795,-0.060387467248972176,0.90608282054671441,2.8591764560142536,0.62879194934574345,0.26150990087661818,0.72866130255590011,0.15872708349287876,-1.4159950365522844,0.10967571022078426,-0.71352029837852049,-3.9663292689206795,-2.8896945112385546,-2.9010613740373015,-2.9070267006603938,-3.7999421826859532,-1.0873424644875445,-1.0073748245582388,-0.73520409072990089,0.33002963406151564,2.1794568603291342,2.0497444060233301,2.5268922851318925,2.1905037229284372,1.7527329886740664,2.9427637270981561,2.0883295394517787,1.0494410428694945,3.4373502463395709,3.7618843103830892,3.3286392347183882,2.2935573822500204,5.267850154266001,2.0209754819601162,6.7276476202684616,3.4123798485768484,4.1112692816689398,2.8322862167993703,5.4812717844984471,5.9799094996332407,2.6084082977027174,3.2565808637395435,2.5343685049074578,1.4776040425153421,3.7808591747433731,4.1870418248309038,1.8766313539605308,3.6237964294882392,6.1755104517146471,4.2436003516357177,5.0632554472399152,3.612603866428711,4.8783521600219588,5.8976134249850487,3.6869328921117037,3.5721879734234769
"4-1",#N/A,1.598657359457865,1.0320797175027585,1.2446794394416192,1.8161717864283418,1.1677135899958109,2.1466260818092695,0.28808976224439564,-0.3159909038456688,0.51380662349417372,0.82881039825891556,0.54207804637743173,1.9085570412380222,-0.75397106933937552,1.3748145172521364,0.46150656317367833,0.0070599621481928221,0.31717808150807086,2.0045016540170071,-1.3241104055327459,-0.35837772442561422,1.2210847538114531,0.70809922068549291,-0.45906696018792043,0.066791175953900508,-0.074390147721598021,1.8084974983165729,-1.3131273380496691,-0.64610986300906204,1.1354048601371565,1.212253303028721,1.8278059888789748,1.5367988968120194,4.3742727009732896,1.9342912167312534,2.4101066709133612,-0.026412368936433284,6.1184110159726108,0.77005894042021317,0.64706302556850359,0.2755017375048664,0.11664278651963245,0.91841955199169467,-1.2517828757027438,-0.21260246412993034,-0.37824367690579352,1.1934092632074322,-0.7927009202485239,0.89269831971355917,1.7338680877944106,1.2941823323397759,0.11859586987048157,-0.12097353013810841,0.058778161109544091,0.48114007240977474,-2.5097028569099376,-1.5742184860222888,-3.4477660791529865,-2.220905200516468,-1.6319919665655733,-2.9208615581086739,-0.29774612402797784,-1.2966667472717082,2.6600691704165498,2.9469373892980641,1.3898909120239182,3.2017721308081741,2.0721993742796494,3.2514556717611089,2.1471748374352688,0.64589166223654448,1.543766424162444,4.4800747217090953,3.9666058034741809,4.505559268840031,0.95890317704275674,2.7908813767212299,3.2038704520746522,2.4787849214677307,5.7130343358463236,5.695242629306529,3.9826239864286737,3.0695801731999452,5.0383342157830597,4.3311068083206008,5.6947237719915735,5.0999504160693938,1.1262160755351767,2.5145156181753725,3.3982759482999043,3.2222182181815855,4.1768162748240414,4.8092562449401894,5.3045435751486973,5.3471851058777045,2.817057570067008,5.7281315628796827,6.3893292932612518,4.2101058826537017,2.887973996614841,4.3340089915234081
"5-1",#N/A,2.4204032874319257,1.1506564262272596,1.7532536517265291,0.51207891206673262,0.68966431253016103,0.79497594250746895,0.61145392137930554,0.39149158201869078,0.54821277407530578,-0.53495680502281984,-0.37941235736937329,1.137938909801248,-1.0410430471216798,-1.0418999570525145,2.1114100656847556,-0.22734976213659364,-0.87793316461547177,-0.011928881858031426,-0.74504011310417906,-1.4349219589310021,0.87864040108828767,0.20467884803935854,0.73231778758861865,1.5888184741806255,-0.1167674610609637,0.11017986353151543,0.20338892574237488,0.43201190495489455,0.97816565246375753,1.5767071346396158,1.8373674995251874,1.0022440182656673,3.4722909165071432,1.0998537576305296,1.3665332872254436,1.1247446607786866,3.2996941106370121,1.7409254540099446,1.9007428219086995,-0.73260351951504377,1.2819571698659202,1.7379826642135525,-0.90430079477862479,0.47310392881043384,-1.1496353445650853,0.4641683469055532,-1.2114043990433334,0.3321355916498846,1.5117662469205517,1.1509600455148228,-1.1000114392051383,0.050391346223992356,-1.4936741325479885,-0.34067288684263081,-2.1632219602557119,-3.7831250959300431,-3.849202221009774,-2.6909691032329452,-2.4524862699516512,-2.848089654150836,-0.665997114989337,-0.75031762218523901,1.5538217446869416,0.20587553980663031,2.6096619045646299,1.3344664782754607,3.1644071215988889,1.9479947283117891,1.3916914777052538,-0.098025266072101047,2.9128131902316126,0.055834699333134008,1.7190607178995303,3.6742448034541493,2.7078557697960424,2.7323042874021382,2.3122052545783918,4.8499376313983582,3.2891105909572085,3.6302614075779589,4.4811450664351753,1.9181053565602237,4.3458940095047165,7.3890846496503535,5.3511019852510575,4.105213498342513,1.944198074943013,1.5167722478422176,4.5739920327128729,4.9011613728945944,3.215510403976098,4.9822970475451687,4.8532678367719635,6.1953722294347342,5.6679664857524061,4.3693950025766259,3.9313335861600631,7.2651951366785816,4.9680691736282849,4.2806787936874331
"6-1",#N/A,1.8306079821325261,3.2074842568750013,1.4850373445192098,1.2366207391190882,0.033614783954711402,2.9581040874627638,-0.67271902534093886,-0.14941272979275927,2.2479980701755458,1.0956109647466239,0.86295358420592283,0.35606042204156241,1.7393197058363408,1.4581294606724151,1.5850824810952844,2.592723012861982,-0.11876593582428663,1.1101382476720678,0.25017609395980983,-0.24633997102870828,-0.99816220207429973,-0.67839036701909183,-3.5489972781252836,-0.6721984334645843,-0.2308756533600691,1.9337141594012817,-2.0315929933571111,2.5891699210024113,0.84642076205914984,1.2222795042817776,1.3998578914587219,0.43172143522680018,0.15866324206352123,3.0806602742397309,0.68539804911323854,0.67217457081137821,2.4124740287098487,2.8386438934522804,0.24767445293406065,2.9622934821366442,1.4735198610065452,2.5834131960252762,1.186398343704766,0.0020499806623996975,-1.6239559817329163,-0.10690821067625958,-0.37089964304756917,-0.61204912564174285,0.70179598297165136,-0.38939045919649351,-0.37852970563812727,-2.59857336749615,1.6084879101589316,-0.3317389893410318,-1.8331182133851447,-0.96019374749592323,-2.2954063287574091,-4.2638855992606564,-3.755598842212065,-2.3322865968616049,-1.5670782963782379,-1.5277960385890466,2.0693725322661001,0.85278589900260493,1.2523363240779501,3.8263088142851007,3.8812027621407834,0.88106266696127467,2.4586121039818205,3.3072019490445537,1.8533808963729099,1.5053438829744352,3.7276905448563258,2.9087894801987515,3.8329606913660674,-0.40601863183103992,3.8553859119355227,3.6455754960373872,4.7659414533049862,5.328074085286552,3.7846211055217549,5.0196908240171174,3.7460651872016411,3.8480614721352038,2.6806612144091968,3.3513211302094348,1.4986161037546519,4.0491131405799257,3.9757794906949298,4.1396656271707384,4.2454458112197742,4.9066960269388682,3.0885199339381284,4.8320027659575411,5.024211863032586,6.0161726959739585,3.3293396289222672,4.5304873306340276,3.5969888781304871,4.3526572353366033
"7-1",#N/A,2.5535497692166,2.4771076756349375,1.1798792692946234,0.61133085550132504,0.30276040857219011,1.3966817961612805,0.45404233963615698,-0.71518230198590871,1.5167656625725248,3.1669118565138206,1.8045842366487173,0.39399047540646709,1.9378580919110275,-0.48514558062629337,-0.24359712208479478,1.0878068215012697,0.88517098338588007,0.88985006158142221,-1.2166817071345528,-1.2784910414287365,-0.39633569898942334,-0.84538089875664646,2.195360124756351,1.5284045843417999,2.2373805112261391,1.3405756967639177,-0.32555120804504983,1.012213217323364,0.56295035336338795,-0.64273223123541001,2.6897465156890581,1.4238201226026752,2.3307059914959058,2.1444774968957123,1.3602328720359758,0.60646286206772615,1.6549964079036412,0.39719683634500114,1.4315964219400268,1.2658690507832089,0.28944324858513948,1.2021478838992592,0.49233846425148481,0.38667561976684051,0.47842578268747188,0.75859658419647713,-1.6653785212435768,-0.067067393967900901,-0.82857640050377157,2.7486179464514815,1.8229803781677578,0.9301083530422336,-0.33678988354588246,0.16876418781213642,-1.4291901579070805,-2.2032412075213315,-3.1300840783249617,-3.1179991451340046,-2.6908607114946155,-2.7577740858497233,-0.67217712813772068,-1.9013924094180688,2.1811621888467938,1.6551778027823647,0.7124100390564907,2.1744885916002232,2.6186346976670842,0.30960381747492183,0.096596860272942564,1.4579075753962019,0.7771542712359536,1.9141123293105327,4.6880644160808824,3.0865406046569492,2.8206186229001791,3.6575111177558619,2.1617364429084147,4.3106215599060649,3.3685588166637483,5.190297498321951,3.4997834594141572,3.1316325334298649,4.5576131509928173,4.6493843802405452,3.3708022069510877,4.7433735909330101,1.3704600308537225,3.0775008415414424,2.9402087890844344,1.5228847643902665,3.0807347703574082,2.4581754248057495,4.7534464911210605,4.3191563370481232,2.8322224724996499,4.5832070072847459,5.0024153418913002,4.4720613815782135,3.6584497429800251,2.3024340544944422
"8-1",#N/A,2.8574318422686158,3.2195177964895541,1.8250595570757806,1.0890018643561532,0.47163177118372462,0.92423757865825318,0.47740285764810053,-1.6813364727594013,-0.5166090072742987,2.2984538067563065,1.4025520985738411,1.6690824372163018,0.16963722260485942,-0.58866335355100086,0.46540086155282845,1.8991551341335533,-1.6443499944901447,-0.67122000578177565,-0.87267300104139001,-0.5858535443545827,-0.43071882135212386,-1.467920995123688,-1.3920615968976415,1.0145824229499607,2.1782343538181008,1.8688016130690708,1.2891235824856944,0.64729550246563938,0.73481388741512843,0.44757649408609879,2.4891366030934772,2.3844806762827644,2.6302074627182286,2.0984063736830034,1.6482993901696728,1.0951869260667524,0.8142905240021725,1.3458244188502675,0.47808590287896657,2.2873761053013562,3.3823355235753576,1.915815217355322,1.4274393521863153,-0.70882813371082887,-0.58409703955551184,-1.9506923480484955,1.3815762439087997,0.87009881918111398,1.5790878425338493,0.4959572157375185,0.48386576708632228,1.6165793444919863,-0.20974013047532311,-1.011217159873004,-2.6852738682190767,-3.8913338451804274,-2.5171706870955739,-5.0458756775900389,-3.315296363037421,-2.9644139238750422,0.33687036213366428,-1.7091302056660336,1.8755649386675779,2.8904707980878057,2.4634922509156025,0.43996526716554918,1.2778663668409374,1.3036578890044139,2.3780082253110133,2.207923034802759,3.3012105611825668,3.3679043942786033,2.2986675004335884,2.1341110699883528,3.3992463511249054,2.3167121371764448,2.3933161122793987,2.081314705487447,4.3635362017408257,3.8856426701426372,3.0633471799452563,3.3910322421149539,4.2478437587229001,4.0288966511709141,4.0561974197184432,5.2627427033351148,6.3614265539998573,3.6813294591800894,3.1520811183470463,1.9184709037118517,4.2720967204351998,3.6650614261144376,2.9742488568443539,3.3595569843834125,6.6497763391596063,4.117627840988094,6.2327011872876064,4.8641456264368568,3.386502297583883,3.6269121949621121
"9-1",#N/A,1.2397375159414337,2.9682423064692909,1.4620896289786531,0.75211099760787758,0.26958562490216409,0.90252531557284366,1.3043564337812379,-0.50688826023737288,2.3613339758985235,1.4462816369290148,0.17056060148195118,1.6365539078525073,1.078588040535069,0.78275757506124299,1.1576426345787993,-0.75493078689833415,2.3388769705836392,0.1341657201222643,0.0065946555289317088,-1.9035094498491036,-2.7663522099872417,1.7439265464914038,-0.14314366612801341,-0.083378614551509633,1.9974115798757017,1.7099166169400744,0.85580678509133612,1.550100125117021,1.0127267916851039,-0.87805469771448608,3.5293999827668854,2.1543424512375267,1.14839503951774,2.8493382859668834,1.5607510382790997,1.8618591298099552,0.87126119565281313,1.5914542336792523,-0.1069003447360708,1.2257571603392678,0.69491634141343606,1.2828269765906986,-1.7057399900003123,1.4376753470659209,0.66774000806802492,-1.0264153068500605,-0.99071173353555186,2.844177645785491,0.77211477230237757,1.5095863860043113,-1.1042055297344353,1.7442361493870999,0.65207980317736636,-0.5606244488265717,-3.3688762670656507,-0.59886645588858256,-4.2752512221907084,-1.4286500145253926,-2.5139464367793156,-3.5322306086152553,0.14031072518826326,-2.015729501130715,1.9314569359045102,2.7463646973517291,1.4375978102174181,1.4679017346201724,2.3843802519651658,1.239842304614811,2.7663942192151274,1.9915709595613826,2.6651354882479432,3.2017041320960029,1.8436852920599895,4.8932681088784351,2.179608043863285,3.5986455860719095,2.7517536804140925,2.8868364247963458,5.214075232314582,3.5094403263950902,3.1799480912284381,3.8317187352382946,4.3113763363504063,5.3329976727947876,6.1440748958851898,4.7664687791668312,4.9770951019823819,2.3499852653637632,6.2930228514589501,3.8581772557553076,3.8549547742974544,4.4457890141097227,1.5468299740173221,2.0498592593403475,5.1339571229927143,5.5018313576678235,3.1086338597127838,6.0382195763584452,5.8654233576152075,2.7856657489203993
"10-1",#N/A,0.11327910109309647,3.3184806032406291,1.3847865023164492,2.4816299410793197,-0.56165010019996275,-0.68279310541143201,0.37555816532157238,2.8894619125874241,1.5651141195309772,0.11004208566934892,1.9974254056065377,0.26932912375916412,1.239337478302144,0.85685947797546436,1.0766508542317266,1.7769214784432084,-0.019451388341156339,-0.21371725973642619,-0.51237600752420309,0.18209656590536272,-1.2974005497035364,-1.4362156629065173,-0.81564147210940063,0.42200698088146532,-0.80170156324641217,0.37191576481324229,2.1323194099189826,0.328520756082742,-0.12509004712503768,1.5174239373384502,1.8974012135499239,1.526652083842329,2.9263040563279361,1.1067117756199174,1.8134027617042463,1.1134139096372044,2.3773750534171945,1.715046477055947,1.0917653235416491,1.4029517675517555,1.4719653748882944,0.70975173681780401,-0.18742842732725984,1.3368046223284002,-1.2663621516015637,1.1094140763343816,1.2808528745767584,1.6760681814635419,-0.78081071609107611,1.3781185904934339,0.8152977406070725,-1.3031466348195817,-0.056700726702484661,-1.2092439642243933,-2.4213108224716664,-1.4815719694331775,-1.6936897461154503,-3.8038892614579201,-1.6622644673331861,-2.4812387030777199,-2.1081120282980175,-1.7807755128292646,1.7242285226793213,2.1220754859028301,1.6340653489194843,0.45131049238935761,3.0368925098747908,2.4857081895277853,1.7872610636950299,1.5576128935424549,3.7201276042721205,2.9531084406920654,2.4545367455086269,4.7229594144787512,2.0926998518766173,-0.14265448853905349,4.4477148399138127,3.349003859102698,5.3934868746584881,4.556921764264664,2.9608091570314778,4.4777051676069801,5.5972436171305988,5.6656547821916146,3.1465124263479307,4.6551036555259815,2.459908596331938,2.408904762967385,3.5153259901006706,2.823661162749012,4.4562848426013462,4.033928385506834,2.7292830908065326,2.7435295626953238,3.7652539587649869,4.5020060442357641,4.9367483260747882,3.6744111259060102,3.9143129113677624,3.1104803469144606
